id,customer_id,status,order_date
1,1,completed,2025-09-01
2,1,completed,2025-11-01
3,1,completed,2026-01-15
4,1,completed,2026-03-20
5,1,completed,2025-08-01
6,1,completed,2025-11-01
7,1,completed,2026-02-01
8,2,completed,2026-01-05
9,2,completed,2026-02-04
10,2,completed,2026-03-04
11,2,completed,2025-10-01
12,2,completed,2025-11-15
13,2,completed,2025-12-30
14,2,completed,2026-02-10
15,2,completed,2026-03-25
16,2,completed,2026-05-05
17,3,completed,2025-10-01
18,3,completed,2026-02-05
19,1,draft,
